Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,Manufacturer,Manufacturer Part Number,Supplier Part Number
1,1,BOOT0,SW3,~,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,"Push button switch, generic, two pins",C318936 TS1101-C-W,,
2,2,C5 C6,20pF,~,C_0402_1005Metric,Unpolarized capacitor,FH (Guangdong Fenghua Advanced Tech 0402CG200J500NT,,
3,1,C19,2.2nF,~,C_0402_1005Metric,Unpolarized capacitor,Walsin Tech Corp 0402B222K500CT,,
4,1,C9,10nF,~,C_0402_1005Metric,Unpolarized capacitor,YAGEO CC0402KRX7R9BB103,,
5,7,C1 C2 C3 C15 C18 C20 C21,100nF,~,C_0402_1005Metric,Unpolarized capacitor,CCTC 0402X7R104K160NT,,
6,4,C7 C8 C10 C17,1uF,~,C_0402_1005Metric,Unpolarized capacitor,CGA0402X5R105K6R3GT Samsung,,
7,1,C4,4.7uF,~,C_0402_1005Metric,Unpolarized capacitor,CCTC  0402X7R104K160NT,,
8,3,D5 D6 D7,1N5819WS,https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf,D_SOD-123,"40V 600mV@1A 1A SOD-323 Schottky Barrier Diodes, SOD-323",1N5819WS,,
9,1,D2,BLUE LED,~,LED_0603_1608Metric,Light emitting diode,BrtLed(Bright LED Elec) BL-HB337A-AV-TRB,,
10,1,D3,GREEN LED,~,LED_0603_1608Metric,Light emitting diode,Yongyu Photoelectric SZYY0402YG,,
11,3,D1 D4 D8,RED LED,~,LED_0603_1608Metric,Light emitting diode,BrtLed(Bright LED Elec) BL-HUB37A-AV-TRB,,
12,8,J2 J3 J4 J5 J6 P1 P2 P3,USB_B_Micro,~,micro_USB,"USB Micro Type B connector Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/) Micro SD Card Socket with one card detection pin",HCTL 051T-4BH89-S PZ254-2-05-S MLD-TF PUSH-H18 Liansheng 2.54-2*5P,,
13,2,R5 R6,20,~,R_0402_1005Metric,Resistor,YAGEO RC0402FR-0720RL,,
14,2,R3 R12,100,~,R_0402_1005Metric,Resistor,VO SCR0402J100R,,
15,7,R1 R2 R9 R14 R15 R16 R24,330,~,R_0402_1005Metric,Resistor,FOJAN FRC0402J331 TS ,,
16,1,R7,1.5K,~,R_0402_1005Metric,Resistor,FOJAN FRC0402J152TS,,
17,2,R10 R11,2.2K,~,R_0402_1005Metric,Resistor,LIZ Elec CR0402FF2201G,,
18,10,R4 R8 R13 R17 R18 R19 R20 R21 R22 R23,10K,~,R_0402_1005Metric,Resistor,VO CL0402JN10KP,,
19,1,RESET1,SW1,~,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,"Push button switch, generic, two pins",C318936 TS1101-C-W,,
20,1,U4,CDSOT236-0504C,https://www.bourns.com/docs/product-datasheets/cdsot236-0504c.pdf,SOT-23-6,"Low capacitance ESD diode / steering Diode Array, SOT23-6",Leiditech CDSOT236-0504C-ES,,
21,1,U8,MPU6050,,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.6mm,,InvenSense MPU-6050,,
22,1,U6,STLINK-V3MODS,,MODULE_STLINK-V3MODS,,ST Microelectronics,,
23,1,U1,STM32F303CCTx,https://www.st.com/resource/en/datasheet/stm32f303cc.pdf,LQFP-48_7x7mm_P0.5mm,"STMicroelectronics Arm Cortex-M4 MCU, 256KB flash, 48KB RAM, 72 MHz, 2.0-3.6V, 37 GPIO, LQFP48",STMicroelectro nics STM32F303CC T6,,
24,1,U5,TLV75733PDBV,https://www.ti.com/lit/ds/symlink/tlv757p.pdf,SOT-23-5,"1A Low IQ Small Size Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5",TLV75733PDBVR,,
25,1,U3,~,,OK-24F024-04,,,,
26,1,USER1,SW2,~,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,"Push button switch, generic, two pins",C318936 TS1101-C-W,,
27,1,Y1,8MHz Crystal,~,Crystal_SMD_HC49-SD,Two pin crystal,YXC X49SM8MSD2SC,,
